Pays,PIB
Guyana,5576.825852
Azerbaijan,5574.603802
Maldives,5574.401981
Singapore,55646.61875
Angola,556.8386317
Afghanistan,556.0072209
Dominican Republic,5555.392014
Singapore,55546.48854
Libya,5554.180053
Ireland,55525.89725
Kuwait,55494.9301
Niger,554.0993893
Cuba,5529.669375
Botswana,5521.990608
Niger,552.569139
Dominica,5518.4232
Botswana,5513.331063
Central African Republic,551.7497219
United States,55049.98833
Azerbaijan,5500.310382
Algeria,5499.587331
Lithuania,5499.428989
North Macedonia,5495.735049
Algeria,5493.056695
Thailand,5492.1215
Guyana,5489.140726
Switzerland,54878.471
Australia,54875.28596
Colombia,5472.53653
Namibia,5469.9014
Denmark,54663.99837
Uzbekistan,546.7768502
India,546.7266135
Togo,546.3503702
Sweden,54589.06039
Iceland,54576.74481
Algeria,5455.679403
North Macedonia,5450.492881
Malawi,544.5934354
Pakistan,544.4942514
Rwanda,543.5453565
Afghanistan,543.3065262
Ireland,54283.68178
Haiti,542.3335961
Netherlands,54159.34661
Paraguay,5413.776021
Croatia,5412.925136
Cuba,5411.269492
Madagascar,541.0659437
South Africa,5409.133489
Angola,5408.4117
Guyana,5407.147366
Togo,540.6087126
Albania,5395.659532
Namibia,5394.996712
Bosnia and Herzegovina,5394.268944
Australia,53934.25018
Namibia,5392.094938
Fiji,5390.714207
Cambodia,539.7503289
Singapore,53890.42873
Mauritius,5388.065784
Paraguay,5380.963322
Zambia,538.591553
Sweden,53791.50873
Guyana,5378.810878
Sweden,53700.00534
Jamaica,5369.498371
Namibia,5367.114674
Madagascar,536.3514017
Jamaica,5359.993789
Finland,53554.03892
Belarus,5352.583912
Burkina Faso,535.0622795
Panama,5348.884253
Estonia,5341.628947
Malawi,534.9510502
Pakistan,534.3039007
Togo,534.0447826
Colombia,5334.556042
Bosnia and Herzegovina,5330.355075
Sierra Leone,533.9915333
Paraguay,5329.387437
Denmark,53254.85637
Paraguay,5324.609068
United States,53106.53677
Madagascar,531.2654321
Netherlands,53018.62936
Madagascar,530.8610389
Zimbabwe,530.5304463
Iceland,52951.68151
Kazakhstan,5291.575305
Niger,529.7444581
Albania,5287.663694
Sweden,52869.04429
Netherlands,52830.17423
Mauritius,5282.906022
Hungary,5276.033189
Luxembourg,52754.27325
Angola,527.3335285
Canada,52669.08996
Canada,52635.17496
Tajikistan,526.6432883
Botswana,5255.776533
Angola,5254.881126
Netherlands,52514.02712
Netherlands,52476.27325
Albania,5246.292306
North Macedonia,5241.058345
Sao Tome and Principe,524.6698721
Mongolia,524.0540084
Netherlands,52397.11671
Madagascar,523.9459714
Mali,523.0386031
Sweden,52274.40879
Costa Rica,5227.465952
Uruguay,5226.9441
Canada,52223.69611
Madagascar,522.9895243
Netherlands,52184.06185
Dominica,5216.872434
Grenada,5213.795649
Ireland,52108.83323
Sierra Leone,521.7548367
Jamaica,5209.859264
Australia,52087.97229
Cuba,5208.718388
Lebanon,5207.792723
Poland,5207.171421
Denmark,52026.99951
Ecuador,5200.555108
Mozambique,520.4026316
Kuwait,51979.12069
Suriname,5197.747907
Sweden,51965.15715
Sweden,51939.42974
Colombia,5193.241458
Ireland,51927.23096
Paraguay,5185.141549
Madagascar,518.1528127
Benin,518.0674741
Netherlands,51733.44213
Austria,51717.49594
Austria,51708.76575
Niger,517.7715723
Australia,51692.84275
United States,51602.93105
Dominica,5160.889141
Afghanistan,516.7478708
Afghanistan,516.6798622
Sweden,51545.48361
Ireland,51518.3881
Papua New Guinea,515.6847804
Madagascar,515.2933234
North Macedonia,5149.589074
Austria,51461.43322
Qatar,51455.95094
Latvia,5145.195232
Austria,51374.95841
Liberia,513.4455667
Bosnia and Herzegovina,5129.663534
Benin,512.673902
Niger,512.595335
Sudan,512.4412582
Afghanistan,512.0127781
Jamaica,5111.465987
Kenya,511.6163943
Argentina,5109.852245
Finland,51081.99767
Angola,5100.097027
North Macedonia,5098.097583
Canada,50955.99832
Netherlands,50950.03434
Bosnia and Herzegovina,5092.554723
Ireland,50914.03129
Bosnia and Herzegovina,5090.945834
Bangladesh,509.6401899
Sierra Leone,509.376594
Dominican Republic,5087.983213
Peru,5082.353706
Belize,5078.809944
Thailand,5076.339872
Chile,5074.902616
Botswana,5073.520408
Austria,50716.70871
Jamaica,5070.099503
United Kingdom,50653.25691
Mozambique,506.6416391
Malawi,506.1372944
Fiji,5057.631913
Grenada,5056.977259
Grenada,5041.012235
Belarus,5039.681886
Dominican Republic,5039.403122
Mozambique,503.3179252
Finland,50260.29986
Norway,50134.89077
Qatar,50124.38594
Austria,50114.40111
Sierra Leone,501.4151655
Eritrea,501.355317
Namibia,5009.685904
Netherlands,50073.00566
Belize,5001.422157
Paraguay,5001.07276
Niger,500.2149113
Finland,49964.49991
Bosnia and Herzegovina,4994.971551
Poland,4991.244358
Ethiopia,499.5315302
Bangladesh,499.4619402
Jamaica,4989.734089
United States,49882.55813
Australia,49881.76371
Finland,49878.04324
Iraq,4985.452879
Iceland,49804.983
Australia,49654.9106
Sierra Leone,496.6822949
Malaysia,4952.213958
Azerbaijan,4950.294791
Switzerland,49470.39713
Belize,4945.857699
Afghanistan,494.1793499
Kuwait,49388.05338
Gabon,4933.46217
Guinea-Bissau,493.7219932
Jamaica,4928.126409
Algeria,4923.631615
Central African Republic,492.7958712
Ghana,492.5440562
Panama,4916.907612
Suriname,4916.605666
Japan,49145.28043
Papua New Guinea,491.8343081
Guyana,4908.566448
Jamaica,4907.927415
Tonga,4903.012138
Ireland,49028.82739
Dominica,4897.308367
Namibia,4896.61526
Mali,489.0213369
Croatia,4887.713716
Dominica,4883.003024
Central African Republic,488.4217358
Denmark,48799.8256
Japan,48760.07895
Finland,48744.98813
Kuwait,48631.7834
Finland,48628.64176
North Macedonia,4861.553971
Ireland,48607.94052
Sudan,486.4188163
Austria,48586.80132
Austria,48567.69529
Belize,4856.973249
Netherlands,48554.99228
Luxembourg,48538.7829
Afghanistan,485.6684187
United States,48466.6576
Jamaica,4843.7499
Finland,48414.84509
North Macedonia,4841.251694
Fiji,4840.72727
Niger,484.1531374
Luxembourg,48398.22929
United States,48382.55845
Jamaica,4834.284009
Zimbabwe,482.9984515
Mozambique,482.1985636
Belgium,48106.89292
Maldives,4809.93374
Azerbaijan,4805.753718
United States,47975.9677
Austria,47963.1794
Germany,47959.99327
Germany,47950.18081
Mauritius,4793.718179
Brazil,4790.456566
Dominica,4787.801441
Malawi,478.6686885
Niger,478.502559
Liberia,478.3995401
Nepal,478.1732528
Zimbabwe,478.0076044
United Kingdom,47787.2413
Bosnia and Herzegovina,4777.066914
Chile,4772.563723
Iceland,47714.59223
Finland,47710.79022
Belgium,47700.54036
Dominica,4770.851894
Belize,4770.232656
Ireland,47666.54708
Turkey,4760.104019
Niger,476.8695322
Zimbabwe,476.5554025
Canada,47562.08343
United Kingdom,47549.34863
Nauru,4752.175082
Belgium,47519.5531
Madagascar,475.9555568
Central African Republic,475.9538139
Bangladesh,475.2919302
Tonga,4740.700272
Central African Republic,474.7056275
Uganda,474.5179496
Mongolia,474.2170943
Cambodia,474.1111921
Azerbaijan,4739.84171
Georgia,4739.188338
Belarus,4735.657608
Belgium,47348.52502
Iceland,47334.93065
Austria,47312.00623
Burkina Faso,473.4498682
Finland,47293.99283
Bosnia and Herzegovina,4729.689959
North Macedonia,4728.308142
Singapore,47236.96023
Georgia,4722.787783
Belize,4718.436581
Bosnia and Herzegovina,4714.693746
Colombia,4714.073055
Madagascar,471.9592116
Mozambique,471.9043433
Madagascar,471.4914963
United States,47099.98047
Dominican Republic,4707.795052
Jamaica,4704.04776
India,470.9867868
Liberia,470.9481214
Nepal,470.455459
Georgia,4697.983652
Sweden,46946.96027
Iraq,4688.318017
Austria,46858.04327
Austria,46855.77175
Cuba,4683.569067
Germany,46794.89929
